0;path;file;Fd kHz;Fg kHz;Start;End;cnt;Source name;Section
99;..\RRLPy_data\d2005_11\d_11_27_25M.002;d_11_27_25M.002;3180;;;;;;
100;..\RRLPy_data\d2005_12\d_12_30_25M.001;d_12_30_25M.001;3180;;;;;;
101;..\RRLPy_data\d2005_12\d_12_30_25M.002;d_12_30_25M.002;3180;;;;;;
102;..\RRLPy_data\d2005_12\d_12_31_25M.001;d_12_31_25M.001;3180;;;;;;
103;..\RRLPy_data\d2005_12\d_12_31_25M.002;d_12_31_25M.002;3180;;;;;;
104;..\RRLPy_data\d2006_01\d_1_1_25M.001;d_1_1_25M.001;3180;;;;;;
105;..\RRLPy_data\d2006_01\d_1_1_25M.002;d_1_1_25M.002;3180;;;;;;
106;..\RRLPy_data\d2006_01\d_1_2_25M.001;d_1_2_25M.001;3180;;;;;;
107;..\RRLPy_data\d2006_01\d_1_2_25M.002;d_1_2_25M.002;3180;;;;;;
108;..\RRLPy_data\d2006_01\d_1_2_25M_casA_day.003;d_1_2_25M_casA_day.003;3180;;;;;;
109;..\RRLPy_data\d2006_01\d_1_3_25M.001;d_1_3_25M.001;3180;;;;;;
110;..\RRLPy_data\d2006_01\d_1_3_25M.002;d_1_3_25M.002;3180;;;;;;
111;..\RRLPy_data\d2006_01\d_1_3_30M.003;d_1_3_30M.003;3180;;;;;;
112;..\RRLPy_data\d2006_01\d_1_4_25M.001;d_1_4_25M.001;3180;;;;;;
113;..\RRLPy_data\d2006_01\d_1_4_25M.002;d_1_4_25M.002;3180;;;;;;
114;..\RRLPy_data\d2006_01\d_1_4_25M.004;d_1_4_25M.004;3180;;;;;;
115;..\RRLPy_data\d2006_01\d_1_4_30M.003;d_1_4_30M.003;3180;;;;;;
116;..\RRLPy_data\d2006_01\d_1_5_25M.001;d_1_5_25M.001;3180;;;;;;
117;..\RRLPy_data\d2006_01\d_1_5_25M.002;d_1_5_25M.002;3180;;;;;;
118;..\RRLPy_data\d2006_01\d_1_5_31M.003;d_1_5_31M.003;3180;;;;;;
119;..\RRLPy_data\d2006_01\d_1_6_25M.001;d_1_6_25M.001;3180;;;;;;
120;..\RRLPy_data\d2006_01\d_1_6_25M.002;d_1_6_25M.002;3180;;;;;;
121;..\RRLPy_data\d2006_01\d_1_6_30M.003;d_1_6_30M.003;3180;;;;;;
122;..\RRLPy_data\d2006_01\d_1_7_25M.001;d_1_7_25M.001;3180;;;;;;
123;..\RRLPy_data\d2006_01\d_1_7_30M.002;d_1_7_30M.002;3180;;;;;;
124;..\RRLPy_data\d2006_01\d_1_8_25M.001;d_1_8_25M.001;3180;;;;;;
125;..\RRLPy_data\d2006_01\d_1_8_25M.002;d_1_8_25M.002;3180;;;;;;
126;..\RRLPy_data\d2006_01\d_1_8_30M.003;d_1_8_30M.003;3180;;;;;;
127;..\RRLPy_data\d2006_01\d_1_9_25M.001;d_1_9_25M.001;3180;;;;;;
128;..\RRLPy_data\d2006_01\d_1_9_25M.002;d_1_9_25M.002;3180;;;;;;
129;..\RRLPy_data\d2006_01\d_1_9_30M.003;d_1_9_30M.003;3180;;;;;;
130;..\RRLPy_data\d2006_01\d_1_10_25M.001;d_1_10_25M.001;3180;;;;;;
131;..\RRLPy_data\d2006_01\d_1_10_25M.002;d_1_10_25M.002;3180;;;;;;
132;..\RRLPy_data\d2006_01\d_1_10_30M.003;d_1_10_30M.003;3180;;;;;;
133;..\RRLPy_data\d2006_02\d_2_3_25M.002;d_2_3_25M.002;3180;;;;;;
134;..\RRLPy_data\d2006_02\d_2_3_25M.003;d_2_3_25M.003;3180;;;;;;
135;..\RRLPy_data\d2006_02\d_2_3_30M.001;d_2_3_30M.001;3180;;;;;;
136;..\RRLPy_data\d2006_02\d_2_4_25M.002;d_2_4_25M.002;3180;;;;;;
137;..\RRLPy_data\d2006_02\d_2_4_25M.003;d_2_4_25M.003;3180;;;;;;
138;..\RRLPy_data\d2006_02\d_2_4_30M.001;d_2_4_30M.001;3180;;;;;;
139;..\RRLPy_data\d2006_02\d_2_5_25M.002;d_2_5_25M.002;3180;;;;;;
140;..\RRLPy_data\d2006_02\d_2_5_25M.003;d_2_5_25M.003;3180;;;;;;
141;..\RRLPy_data\d2006_02\d_2_5_30M.001;d_2_5_30M.001;3180;;;;;;
142;..\RRLPy_data\d2006_02\d_2_6_25M.002;d_2_6_25M.002;3180;;;;;;
143;..\RRLPy_data\d2006_02\d_2_6_25M.003;d_2_6_25M.003;3180;;;;;;
144;..\RRLPy_data\d2006_02\d_2_6_30M.001;d_2_6_30M.001;3180;;;;;;
145;..\RRLPy_data\d2006_02\d_2_7_25M.002;d_2_7_25M.002;3180;;;;;;
146;..\RRLPy_data\d2006_02\d_2_7_25M.003;d_2_7_25M.003;3180;;;;;;
147;..\RRLPy_data\d2006_02\d_2_7_25M.004;d_2_7_25M.004;3180;;;;;;
148;..\RRLPy_data\d2006_02\d_2_7_30M.001;d_2_7_30M.001;3180;;;;;;
149;..\RRLPy_data\d2006_03\d_3_3_25M.002;d_3_3_25M.002;3180;;;;;;
150;..\RRLPy_data\d2006_03\d_3_3_30M.001;d_3_3_30M.001;3180;;;;;;
151;..\RRLPy_data\d2006_03\d_3_4_25M.002;d_3_4_25M.002;3180;;;;;;
152;..\RRLPy_data\d2006_03\d_3_4_30M.001;d_3_4_30M.001;3180;;;;;;
153;..\RRLPy_data\d2006_03\d_3_5_25M.002;d_3_5_25M.002;3180;;;;;;
154;..\RRLPy_data\d2006_03\d_3_5_25M.003;d_3_5_25M.003;3180;;;;;;
155;..\RRLPy_data\d2006_03\d_3_5_25M.004;d_3_5_25M.004;3180;;;;;;
156;..\RRLPy_data\d2006_03\d_3_5_30M.001;d_3_5_30M.001;3180;;;;;;
157;..\RRLPy_data\d2006_03\d_3_6_25M.002;d_3_6_25M.002;3180;;;;;;
158;..\RRLPy_data\d2006_03\d_3_6_25M.003;d_3_6_25M.003;3180;;;;;;
159;..\RRLPy_data\d2006_03\d_3_6_25M.004;d_3_6_25M.004;3180;;;;;;
160;..\RRLPy_data\d2006_03\d_3_6_30M.001;d_3_6_30M.001;3180;;;;;;
161;..\RRLPy_data\d2006_03\d_3_7_25M.002;d_3_7_25M.002;3180;;;;;;
162;..\RRLPy_data\d2006_03\d_3_7_25M.003;d_3_7_25M.003;3180;;;;;;
163;..\RRLPy_data\d2006_03\d_3_7_25M.004;d_3_7_25M.004;3180;;;;;;
164;..\RRLPy_data\d2006_03\d_3_7_30M.001;d_3_7_30M.001;3180;;;;;;
165;..\RRLPy_data\d2006_03\d_3_22_30M.001;d_3_22_30M.001;3180;;;;;;
166;..\RRLPy_data\d2006_03\d_3_23_30M.001;d_3_23_30M.001;3180;;;;;;
167;..\RRLPy_data\d2006_03\d_3_24_30M.001;d_3_24_30M.001;3180;;;;;;
168;..\RRLPy_data\d2006_03\d_3_25_25M.001;d_3_25_25M.001;3180;;;;;;
169;..\RRLPy_data\d2006_03\d_3_25_25M.002;d_3_25_25M.002;3180;;;;;;
170;..\RRLPy_data\d2006_03\d_3_25_25M.003;d_3_25_25M.003;3180;;;;;;
171;..\RRLPy_data\d2006_03\d_3_26_25M.001;d_3_26_25M.001;3180;;;;;;
172;..\RRLPy_data\d2006_03\d_3_26_25M.002;d_3_26_25M.002;3180;;;;;;
173;..\RRLPy_data\d2006_03\d_3_26_25M.003;d_3_26_25M.003;3180;;;;;;
174;..\RRLPy_data\d2006_03\d_3_27_25M.001;d_3_27_25M.001;3180;;;;;;
175;..\RRLPy_data\d2006_03\d_3_27_25M.002;d_3_27_25M.002;3180;;;;;;
